은행,「자본시장과 금융투자업에 관한 법률」제12조에 따라 증권을 대상으로 투자매매업·투자중개업의 인가를 받은 투자매매업자·투자중개업자, 보험회사, 종합금융회사, 상호저축은행이 예금보험대상입니다.
아래 검색 기능을 통해 각 금융권역별 금융회사의 이름과 주소 등을 검색하실 수 있습니다.
금융권역, 회사명 검색하기
금융권역
전체
은행
종합금융회사
생명보험회사
손해보험회사
투자매매업자ㆍ투자중개업자
상호저축은행
신용협동조합
회사명
검색
초기화
25.12월 기준
좌우로 움직여보세요
금융권역 | 회사명 | 주소 | 연락처 | FAX | 대표자명
투자매매업자ㆍ투자중개업자 | 다올자산운용(주) | 서울시 영등포구 여의나루로 60 | 02-788-8400 | 02-788-8597 | 이창희
상호저축은행 | (주)다올저축은행 | 서울 강남구 테헤란로 504 해성빌딩(대치동) | 02-1544-6700 | 02-547-2966 | 김정수
투자매매업자ㆍ투자중개업자 | 다올투자증권주식회사 | 서울시 영등포구 여의나루로 60 여의도포스트타워 | 02-2184-2000 |  | 이병철 황준호
투자매매업자ㆍ투자중개업자 | 다이와증권캐피탈마켓코리아 주식회사 | 서울특별시 영등포구 여의도동 국제금융로 10 One IFC빌딩 21층 | 02-787-9100 |  | SAZAWA JINYA (사자와 진야)
투자매매업자ㆍ투자중개업자 | 대구축산업협동조합 | 대구시 동구 동북로 296 | 053-957-9901 |  | 
상호저축은행 | (주)대명상호저축은행 | 충북 제천시 의림대로 137(중앙로2가) | 043-640-5000 | 043-640-5001 | 이정일
상호저축은행 | (주)대백저축은행 | 대구 수성구 달구벌대로 2382-1 (범어1동) | 053-742-3301 | 053-744-0335 | 권 호 원
투자매매업자ㆍ투자중개업자 | 대신자산운용(주) | 서울특별시 중구 삼일대로 343(저동1가 대신파이낸스센터) | 02-769-3449 | 02-769-2808 | 정만성
상호저축은행 | 대신저축은행 | 서울시 중구 삼일대로 343 대신파이낸스센터 17층 | 02-519-5000 | 02-519-5050 | 노명문
투자매매업자ㆍ투자중개업자 | 대신증권주식회사 | 서울시 중구 저동1가 48 대신파이낸스센터(도로명주소: 삼일대로 343) | 158-8-4488 | 02-769-2844 | 진승욱
상호저축은행 | (주)대아상호저축은행 | 경북 포항시 북구 중흥로 321 (죽도동) | 054-274-4111 | 054-273-4100 | 강창규
상호저축은행 | 대원저축은행 | 경북 경주시 북문로 126 (성동동) | 054-773-2222 | 054-773-4450 | 김춘식
상호저축은행 | (주)대한저축은행 | 광주 동구 금남로 183 (충장동) | 062-527-5701 | 062-527-5708 | 임용훈
은행 | 대화(UOB)은행 | 서울특별시 중구 세종대로 136 서울파이낸스센터 4층 | 02-739-3916 | 02-730-9570 | 탄켄홧
상호저축은행 | (주)더블저축은행 | 광주 동구 중앙로 165 (충장로4가) | 062-223-5506 | 062-223-4686 | 박찬희
상호저축은행 | 더케이저축은행(주) | 서울 강남구 테헤란로 323 (역삼동 702-23) | 02-569-5600 | 02-569-5620 | 류영학
은행 | 도이치은행 | 서울특별시 종로구 청계천로 41 영풍빌딩 16 18 19층 | 02-724-4500 | 02-738-0970 | 김종갑, 박현남
투자매매업자ㆍ투자중개업자 | 도이치증권주식회사 | 서울특별시 종로구 우정국로 26 11층 (공평동 센트로폴리스 에이동) | 02-316-8888 | 02-316-8994 | 박의택
생명보험회사 | 동양생명보험주식회사 | 서울시 종로구 청진동 70 | 157-7-1004 | 02-771-1347 | 성대규
상호저축은행 | (주)동양저축은행 | 광주 동구 중앙로 198 동양저축은행 (금남로3가) | 062-720-0800 | 062-226-0746 | 임선일
상호저축은행 | (주)동원제일저축은행 | 부산광역시 연제구 연제로 30 | 154-4-8811 | 055-384-0064 | 권경진
상호저축은행 | 드림저축은행 | 대구 중구 국채보상로 645 (동인동2가) | 053-663-5000 | 053-663-5100 | 송철호
투자매매업자ㆍ투자중개업자 | 디비자산운용㈜ | 서울 영등포구 여의대로 24 41층 (여의도동 에프케이아이타워) | 02-787-3700 | 02-787-3719 | 정경수박용명
상호저축은행 | (주)디비저축은행 | 서울시 중구 남대문로 113 | 02-3705-1700 | 02-3705-1800 | 윤재인
투자매매업자ㆍ투자중개업자 | 디에스투자증권 주식회사(비상장) | 서울시 영등포구 국제금융로10 Three IFC 13층 | 02-709-2300 |  | 김현태
상호저축은행 | (주)라온저축은행 | 경북 구미시 역전로 18 | 054-452-1101 | 054-455-3200 | 유경숙
생명보험회사 | 라이나생명보험(주) | 서울시 종로구 삼봉로 48번지 라이나타워 | 02-3781-1000 | 02-792-6063 | 조지은
손해보험회사 | 롯데손해보험주식회사 | 서울시 중구 소월로 3 롯데손해보험빌딩 | 02-3455-3114 | 02-757-5737 | 이은호
투자매매업자ㆍ투자중개업자 | 리딩투자증권 주식회사 | 서울특별시 영등포구 여의대로 108 44 45층 (여의도동 파크원 타워2) | 02-2009-7000 | 02-2009-7371 | 김충호 최규원
투자매매업자ㆍ투자중개업자 | 마이다스에셋자산운용(주) | 서울시 종로구 경희궁길 20 | 02-3787-3500 |  | 신진호 신정희
투자매매업자ㆍ투자중개업자 | 맥쿼리증권주식회사 | 서울특별시 종로구 우정국로 26 A동(공평동 센트로폴리스) | 370-5-8500 |  | 황찬영
상호저축은행 | 머스트삼일저축은행 | 경북 포항시 북구 장량로 154 (양덕동) | 054-275-4060 | 054-275-7184 | 김홍천
투자매매업자ㆍ투자중개업자 | 메리츠증권 주식회사 | 서울시 영등포구 국제금융로 10 (여의도동) | 02-758-6611 | 02-3779-4669 | 장원재 김종민
손해보험회사 | 메리츠화재해상보험㈜ | 서울시 강남구 역삼동 825-2 | 02-3786-2114 | 02-3786-2115 | 김중현
투자매매업자ㆍ투자중개업자 | 메릴린치인터내셔날엘엘씨증권 서울지점 | 서울특별시 중구 세종대로 136 29층 (무교동 서울파이낸스센터) | 02-3707-0400 | 02-3707-0490 | 김경덕장영주신진욱
생명보험회사 | 메트라이프 생명보험㈜ | 서울 강남구 테헤란로 316 (역삼동 메트라이프타워) | 02-3469-9600 | 02-3469-9702 | 송영록
은행 | 메트로은행 | 서울특별시 중구 소월로 10 단암빌딩 2층 | 02-779-2751 | 02-779-2750 | 이종원
은행 | 멜라트은행 | 서울특별시 강남구 테헤란로 410 금강타워빌딩 13 14층 | 02-2007-6700 | 02-557-4448 | 김태길
은행 | 모간스탠리은행 | 서울특별시 종로구 새문안로 68 흥국생명빌딩 23층 | 02-3275-4501 | 02-3275-4560 | 김수훈
투자매매업자ㆍ투자중개업자 | 모간스탠리인터내셔날 증권회사 서울지점 | 서울 종로구 새문안로 68 흥국생명빌딩 22층 | 02-399-4848 | 02-399-4886 | 한승수
상호저축은행 | (주)모아저축은행 | 인천광역시 미추홀구 경인로 406 (주안동) | 032-430-3300 | 032-430-3444 | 김상고 김진백
생명보험회사 | 미래에셋생명보험주식회사 | 서울특별시 영등포구 국제금융로 56(여의도동 미래에셋증권빌딩) | 02-1588-0220 | 02-3271-5023 | 김재식황문규
투자매매업자ㆍ투자중개업자 | 미래에셋자산운용(주) | 서울특별시 종로구 종로 33 (청진동 그랑서울) | 02-1577-1640 |  | 최창훈 이준용
투자매매업자ㆍ투자중개업자 | 미래에셋증권 주식회사 | 서울특별시 중구 을지로5길 26 | 02-1588-6800 | 02-768-2469 | 김미섭 허선호
은행 | 미쓰이스미토모은행 | 서울특별시 중구 을지로5길 26 미래에셋센터원빌딩 서관 12층 | 02-6364-7000 | 02-399-6330 | 차츠다 토시유키
손해보험회사 | 미쓰이스미토모해상화재보험㈜한국지점 | 서울특별시 영등포구 국제금융로 10 7층(여의도동 투아이에프씨) | 02-3702-5800 | 02-3702-5900 | 하시모토 조리오
은행 | 미즈호 | 서울특별시 중구 세종대로 136 서울 파이낸스센터 19층 | 02-3782-8500 | 02-754-6844 | 야쓰하라 타카시코
투자매매업자ㆍ투자중개업자 | 미즈호증권아시아리미티드 서울지점 | 홍콩 퀼룬 침 사 추이 샐리스버리 로드 18 아틀리에 케이11 14-15층 | 02-2206-1800 | 02-2039-7503 | 쿠라바야시 히데키
상호저축은행 | (주)민국저축은행 | 서울시 중구 퇴계로 234 | 02-2271-0071 | 02-2271-3411 | 양현근
은행 | 바덴뷔르템베르크주립은행서울지점 | 서울특별시 중구 세종대로 136 서울 파이낸스센터 14층 | 02-6730-0100 | 02-6730-0200 | 이성구
은행 | 뱅크오브아메리카은행 | 서울특별시 중구 세종대로 136 서울 파이낸스센터 27층 28층 | 02-788-1401 | 02-729-4525 | 신진옥, 유창범
투자매매업자ㆍ투자중개업자 | 부국증권 주식회사 | 서울시 영등포구 국제금융로6길 17 | 3689200 | 02-780-2107 | 박현철
상호저축은행 | (주)부림저축은행 | 경기 안양시 만안구 장내로 124 부림저축은행(안양동) | 031-443-3800 | 031-443-3693 | 이건선
은행 | 부산은행 | 부산광역시 남구 문현금융로 30 | 051-661-4000 | 051-631-7477 | 안감찬
투자매매업자ㆍ투자중개업자 | 북서울농업협동조합 | 서울시 도봉구 해등로 166 | 02-908-2011 |  | 
투자매매업자ㆍ투자중개업자 | 브레인자산운용주식회사 | 서울특별시 영등포구 국제금융로8길 2 6층(여의도동 농협재단빌딩) | 02-6277-5000 |  | 김태준
투자매매업자ㆍ투자중개업자 | 브이아이자산운용(주) | 서울시 영등포구 국제금융로 10 Three IFC 16층 | 02-727-2700 | 02-727-2880 | 이동근
투자매매업자ㆍ투자중개업자 | 브이자산운용 주식회사 | 서울특별시 강남구 테헤란로 447 KB우준타워 6층 | 02-3703-9800 |  | 고재원
투자매매업자ㆍ투자중개업자 | 비엔케이자산운용 | 서울특별시 영등포구 국제금융로2길 32 21층(여의도파이낸스타워) | 02-6910-1100 | 02-6910-1280 | 성 경 식
상호저축은행 | 주식회사 비엔케이저축은행 | 부산광역시 동구 범일로 92 2-3층 | 164-4-9988 | 051-713-1013 | 김영문
투자매매업자ㆍ투자중개업자 | 비엔피파리바증권㈜ (비상장) | 서울특별시 중구 퇴계로 100 (회현동 2가) 스테이트타워 남산빌딩 2425층 | 02-2125-0500 | -- | 김신일
생명보험회사 | 비엔피파리바카디프생명보험주식회사 | 서울특별시 영등포구 국회대로 612 코레일유통 7층 11층 | 02-3788-8800 | 02-3788-8897 | 오준석
투자매매업자ㆍ투자중개업자 | 삼성SRA자산운용 주식회사 | 서울 서초구 서초대로 74길4 삼성생명서초타워 16층 | 02-310-2500 |  | 김정근
생명보험회사 | 삼성생명보험주식회사 | 서울특별시 서초구 서초대로74길 11 | 02-1588-3114 | 02-751-8100 | 홍원학
투자매매업자ㆍ투자중개업자 | 삼성선물주식회사 | 서울시 서초구 서초대로 74길 11 20층(서초동 삼성전자서초빌딩) | 02-3707-3699 | 02-761-6138 | 김인
투자매매업자ㆍ투자중개업자 | 삼성자산운용㈜ | 서울 서초구 서초대로74길 11 | 02-3774-7600 |  | 김우석
투자매매업자ㆍ투자중개업자 | 삼성증권 주식회사 | 서울특별시 서초구 서초대로74길 11 삼성전자빌딩 | 02-2020-8000 | 02-726-7004 | 박종문
손해보험회사 | 삼성화재해상보험주식회사 | 서울특별시 서초구 서초대로74길 14 (서초동 삼성화재) | 158-8-5114 | 02-758-7805 | 이문화
상호저축은행 | (주)삼정저축은행 | 경기도 하남시 미사강변대로 208 2층 (우승츠라자) | 031-791-6411 | 031-793-0810 | 한소훈
상호저축은행 | (주)삼호저축은행 | 전북 전주시 완산구 현무2길 70 | 063-900-2000 | 063-469-8829 | 이규완
상호저축은행 | 상상인저축은행 | 경기 성남시 분당구 황새울로 358(서현동) | 031-698-8200 | 031-698-8208 | 이재옥
상호저축은행 | (주)상상인플러스저축은행 | 충남천안시서북구불당21로67-122층 | 160-0-2100 | 041-579-2886 | 이인섭
손해보험회사 | 서울보증보험(주) | 서울시 종로구 김상옥로 29 | 167-0-7000 | 02-3671-5516 | 이명순
상호저축은행 | 세람저축은행 | 경기 이천시 중리천로 50 (중리동) | 031-633-6781 | 031-632-6785 | 신승식
상호저축은행 | (주)센트럴저축은행 | 광주광역시 동구 금남로 167 (금남로5가) | 062-224-4010 | 062-224-7805 | 최철훈
은행 | 소시에테제네랄 | 서울특별시 종로구 종로3길 17 D타워 23층 | 02-2195-7777 | 02-2195-7700 | 앤드류 김
상호저축은행 | (주)솔브레인저축은행 | 부산 연제구 중앙대로 1094 (연산동) | 051-861-8600 | 051-861-8606 | 한철균
은행 | 수협은행 | 서울특별시 송파구 오금로 62(신천동 11-6) | 02-2240-2638 |  | 김진균
투자매매업자ㆍ투자중개업자 | 순천농업협동조합 | 전라남도 순천시 백연길 111 | 061-743-3583 |  | 
상호저축은행 | (주)스마트저축은행 | 광주광역시 서구 상무대로 799(치평동국제빌딩) | 062-223-2131 | 062-225-8067 | 조성윤
상호저축은행 | (주)스카이저축은행 | 서울 강남구 학동로 103 3층 (논현동스카이저축은행) | 02-3485-4100 | 02-3485-4151 | 유석현
상호저축은행 | 스타저축은행 | 전북 전주시 덕진구 팔달로 320 | 063-277-1311 | 063-255-9338 | 양순종
은행 | 스테이트 뱅크 오브 인디아 서울지점 | 서울 종로구 종로 1 교보생명빌딩 20층 | 02-720-9810 | 02-720-9811 | 
은행 | 스테이트스트리트 | 서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 서관 31층 | 02-3706-4500 | 02-3706-4545 | 임영규
투자매매업자ㆍ투자중개업자 | 신영자산운용주식회사 | 서울특별시 영등포구 국제금융로8길 6 | 02-6711-7500 | 02-780-0540 | 엄준흠
투자매매업자ㆍ투자중개업자 | 신영증권주식회사 | 서울 영등포구 국제금융로 8길 16 신영증권빌딩 | 02-2004-9000 | 02-784-8953 | 금정호
생명보험회사 | 신한라이프생명보험주식회사 | 서울특별시 중구 삼일대로 358(을지로 2가) | 158-8-5580 | 02-775-3286 | 사장 천 상 영
은행 | 신한은행 | 서울특별시 중구 세종대로9길 20 | 02-756-0506 | 02-779-0864 | 진옥동
손해보험회사 | 신한이지손해보험주식회사 | 서울특별시 중구 남대문로 113 DB다동빌딩 45층 | 02-1544-2580 | 02-2050-8111 | 강병관
투자매매업자ㆍ투자중개업자 | 신한자산운용(주) | 서울특별시 영등포구 의사당대로 96 23~26층 (여의도동 티피타워) | 02-767-5777 |  | 이석원
상호저축은행 | 주식회사 신한저축은행 | 서울시 중구 청계천로 54 | 164-4-7777 | 02-6965-2102 | 채수웅
투자매매업자ㆍ투자중개업자 | 신한투자증권(주)(비상장) | 서울시 영등포구 의사당대로 96 TP Tower | 02-3772-1000 | 02-761-2802 | 이선훈
투자매매업자ㆍ투자중개업자 | 씨엘에스에이코리아증권(주) | 서울시 영등포구 국제금융로 10번지 원아이에프씨 30층 | 02-397-8400 | 02-771-8583 | 노승주
투자매매업자ㆍ투자중개업자 | 씨엠에스증권한국 주식회사 | 서울시 영등포구 국제금융로10 44층(여의도동 쓰리아이에프씨) | 02-6292-4000 | 02-6292-4010 | 정신욱
투자매매업자ㆍ투자중개업자 | 씨지에스 인터내셔널증권 홍콩 한국지점 | 서울시 종로구 새문안로 82 에스타워 15층 | 02-6730-6000 |  | 김관호
상호저축은행 | (주)씨케이저축은행 | 강원 춘천시 금강로 40 (낙원동씨케이저축은행) | 033-252-8411 | 033-256-3940 | 박수길
투자매매업자ㆍ투자중개업자 | 씨티그룹글로벌마켓증권 주식회사 | 서울 종로구 새문안로 50 씨티뱅크센터 15층 | 370-5-0600 | 02-3705-0990 | 박장호
상호저축은행 | (주)아산저축은행 | 충남 아산시 시민로 381 (온천동) | 041-537-9000 | 041-537-9001 | 홍승덕
생명보험회사 | 아이비케이연금보험주식회사 | 서울시 중구 칠패로37(봉래동 1가 HSBC빌딩 1819층) | 02-2270-1600 | 02-2270-1507 | 임문택
투자매매업자ㆍ투자중개업자 | 아이비케이자산운용(주) | 서울특별시 영등포구 은행로30(여의도동 중소기업중앙회 신관11층) (우:07242) | 02-727-8800 | 02-727-8877 | 임찬희
투자매매업자ㆍ투자중개업자 | 아이비케이투자증권주식회사 (IBK SECURITIES CO. LTD) | 서울특별시 영등포구 국제금융로 6길 11 (여의도동) | 158-8-0030 |  | 서정학
은행 | 아이엔지 | 서울특별시 중구 세종대로 136 서울파이낸스센터 11층 | 02-317-1800 | 02-317-1880 | 현중훈
투자매매업자ㆍ투자중개업자 | 아이엔지증권 서울지점 | 서울특별시 중구 세종대로 136 11층 | 02-317-1800 | 02-317-8990 | 손영창
은행 | 아이엠뱅크 | 대구광역시 수성구 달구벌대로 2310 | 053-755-8760 | 053-756-2095 | 황병우
손해보험회사 | 악사손해보험(주) | 서울시 용산구 한강대로 71길 4  한진중공업빌딩 11층 | 347-9-4924 | 02-3479-4800 | 한스 브랑켄
상호저축은행 | (주)안국저축은행 | 경기 파주시 금정20길 22 | 031-941-7271 | 031-941-7271 | 김학재
상호저축은행 | (주)안양저축은행 | 경기 안양시 만안구 안양로 250 | 031-441-4141 | 031-441-2800 | 양정엽
투자매매업자ㆍ투자중개업자 | 알지자산운용(주) | 서울 영등포구 국제금융로 10 Two IFC 16층 |  | 02-6670-1850 | 박용수
투자매매업자ㆍ투자중개업자 | 알파자산운용 주식회사 | 서울특별시 영등포구 국제금융로8길 318층(여의도동 SK증권빌딩) | 02-769-7600 |  | 최준혁
상호저축은행 | (주)애큐온저축은행 | 서울시 강남구 선릉로 514 성원타워 13678층 | 158-8-6161 | 02-3443-0078 | 김희상
은행 | 야마구찌은행 | 부산광역시 중구 중앙대로 63 4층 | 051-462-3281 | 051-462-3282 | 츠하라 히로유키
투자매매업자ㆍ투자중개업자 | 에셋플러스자산운용㈜ | 경기도 성남시 분당구 판교역로192번길 14(삼평동리치투게더센터) | 02-501-7707 |  | 이성수
상호저축은행 | (주)에스앤티저축은행 | 경남 창원시 성산구 중앙대로 85 101호 | 055-222-8100 | 055-222-8108 | 김형철
생명보험회사 | 에이비엘생명보험주식회사 | 서울시 영등포구 여의도동 45-21(에이비엘 타워) | 02-3787-7000 | 02-3481-8669 | 시예 저치앙
손해보험회사 | 에이스아메리칸화재해상보험주식회사 한국지점 | 서울시 종로구 삼봉로 48 라이나타워 1415층 | 02-2127-2400 | 02-2127-2304 | 모재경
생명보험회사 | 에이아이에이생명보험 주식회사 | 서울 중구 통일로 2길 16 AIA TOWER | 02-3707-4761 | 02-776-7109 | 촹 네이슨 마이클
투자매매업자ㆍ투자중개업자 | 에이치디씨자산운용(주) | 서울시 영등포구 국제금융로8길 112층(여의도동) | 321-5-3000 | 02-3215-3009 | CHUN EUGENE(전우진)
투자매매업자ㆍ투자중개업자 | 엔에이치아문디자산운용 주식회사 | 서울특별시 영등포구 국제금융로8길 2 농협재단빌딩 10층 | 02-368-3600 |  | 길정섭
투자매매업자ㆍ투자중개업자 | 엔에이치투자증권 | 서울시 영등포구 여의대로 108 파크원 타워2 | 154-4-0000 | 02-768-7229 | 윤병운
투자매매업자ㆍ투자중개업자 | 엘에스증권 주식회사 | 서울시 영등포구 여의나루로 60 여의도 포스트타워 24층 | 02-3779-0100 | 02-783-6224 | 홍원식
상호저축은행 | 엠에스상호저축은행 | 대구광역시 중구 동덕로 173 (동인동2가) | 053-749-5000 | 053-754-9565 | 최창훈
손해보험회사 | 엠지손해보험주식회사 | 서울특별시 강남구 테헤란로 335 | 02-3788-2000 |  | 안병율
투자매매업자ㆍ투자중개업자 | 엠플러스자산운용(주) | 서울특별시 강남구 남부순환로 2806 군인공제회관 22층 | 02-6007-4700 | 02-528-0333 | 최현철
상호저축은행 | (주)예가람저축은행 | 서울시 중구 세종대로 50 2층3층5층 (남대문로4가흥국생명빌딩) | 02-6906-7000 | 02-6906-7099 | 문윤석
상호저축은행 | (주)오성저축은행 | 경북 구미시 역전로 8 (원평동) | 054-452-7861 | 054-452-7868 | 문정환
상호저축은행 | 오에스비저축은행 | 서울특별시 서초구 서초중앙로 203 | 164-4-0052 | 02-594-6600 | 장찬
상호저축은행 | (주)오케이저축은행 | 서울 중구 세종대로39 10층 | 02-6206-0300 | 02-514-2245 | 정길호
상호저축은행 | (주)오투저축은행 | 대전 서구 둔산남로 103 (둔산동) 2층 | 166-1-0022 | 042-483-3364 | 이홍보
상호저축은행 | 우리금융저축은행 | 충북 청주시 상당구 남사로 135 (남문로2가) | 043-279-9100 | 043-279-9120 | 이석태
은행 | 우리은행 | 서울특별시 중구 소공로 51 | 02-2002-3000 | 02-2002-5615 | 손태승
투자매매업자ㆍ투자중개업자 | 우리자산운용 | 서울특별시 영등포구 여의대로 108(파크원 타워1 37층) | 02-2118-0500 |  | 최승재
상호저축은행 | 우리저축은행 | 부산 부산진구 중앙대로 723 (부전동) | 051-811-9400 | 051-806-5267 | 강헌석
은행 | 웰스파고 | 서울특별시 종로구 종로3길 17 D타워 D1 21층 | 02-3706-3114 | 02-3706-3141 | 종옥카르마
